temp,hum,gas,water,piezo,risk_label
24.5,35.9,220,62,114,0
21.0,38.6,124,108,16,0
20.2,42.7,338,6,287,0
21.4,57.7,294,56,229,0
24.1,63.3,83,40,216,0
22.4,40.4,252,26,47,0
22.7,47.6,256,67,22,0
25.1,53.8,273,20,282,0
22.1,57.0,265,147,98,0
24.9,36.6,196,74,40,0
26.0,65.3,274,71,232,0
24.4,47.8,269,90,107,0
24.7,59.6,116,43,273,0
25.1,40.7,274,69,327,0
24.8,42.7,246,14,117,0
25.8,63.2,285,68,33,0
21.5,68.0,241,54,335,0
23.5,66.0,314,36,135,0
21.0,61.1,214,149,219,0
26.3,49.0,192,35,260,0
23.5,61.5,136,39,321,0
21.1,58.8,112,98,195,0
24.2,51.4,208,141,5,0
24.8,39.0,216,87,57,0
22.1,40.5,81,67,256,0
25.3,52.8,134,76,327,0
23.6,42.0,271,41,276,0
26.7,67.3,80,82,250,0
20.1,67.5,237,61,29,0
21.7,54.9,120,21,248,0
25.7,69.2,144,32,337,0
23.3,54.2,215,135,310,0
23.0,42.4,182,79,204,0
27.0,57.7,304,132,231,0
20.8,42.9,253,5,301,0
23.9,55.6,83,18,323,0
20.4,37.4,96,84,36,0
23.6,44.7,328,54,276,0
20.9,67.7,322,62,242,0
25.7,41.7,129,110,181,0
23.0,51.3,107,25,31,0
22.8,46.9,135,63,98,0
21.3,50.7,296,46,142,0
23.2,65.6,118,113,281,0
20.7,57.8,87,23,121,0
21.2,52.0,189,102,30,0
21.2,35.1,279,67,232,0
22.0,59.4,329,39,97,0
22.1,68.9,111,80,29,0
20.4,51.7,160,14,260,0
20.6,41.5,114,60,206,0
20.8,66.2,206,148,304,0
20.3,37.9,347,80,133,0
21.4,60.1,202,67,202,0
20.9,57.6,314,80,37,0
20.1,56.7,131,18,275,0
21.5,44.3,258,17,125,0
22.6,40.5,234,135,4,0
24.7,54.4,133,34,135,0
20.8,38.7,159,69,144,0
24.2,60.1,184,67,258,0
23.4,66.7,106,23,324,0
23.0,44.7,81,85,66,0
24.5,44.2,306,141,218,0
23.9,38.9,156,139,18,0
25.8,55.4,155,110,65,0
20.3,47.8,100,91,107,0
24.8,58.3,261,143,208,0
26.8,61.2,201,41,90,0
26.2,35.9,250,105,342,0
26.0,63.4,216,40,55,0
22.7,36.4,320,56,102,0
25.7,51.1,236,58,114,0
20.2,41.8,248,71,35,0
26.8,44.8,340,102,347,0
26.9,53.8,94,29,133,0
21.2,68.7,215,9,55,0
24.2,47.1,240,111,310,0
26.9,39.0,177,65,22,0
25.0,35.1,180,93,220,0
20.5,58.2,249,80,339,0
25.9,60.2,233,129,158,0
24.7,46.4,231,141,65,0
21.3,58.3,274,44,315,0
24.0,49.2,80,77,146,0
21.5,62.5,244,119,226,0
23.1,42.5,322,43,337,0
20.6,53.0,251,23,120,0
24.7,42.9,181,37,12,0
20.3,69.4,117,116,212,0
26.2,55.1,276,126,204,0
21.7,58.0,82,27,217,0
21.5,63.1,345,118,25,0
23.9,67.1,142,116,68,0
25.6,58.4,242,113,313,0
25.7,66.2,298,140,228,0
26.3,61.0,323,115,132,0
25.3,64.4,221,133,248,0
24.4,44.6,119,73,120,0
21.9,46.2,121,35,77,0
21.6,59.3,189,16,212,0
22.9,54.0,292,15,105,0
25.8,48.6,90,147,194,0
23.3,68.0,232,99,214,0
23.8,60.7,192,124,112,0
21.9,52.0,279,86,342,0
24.8,49.2,164,119,65,0
26.9,53.7,281,144,339,0
20.2,57.5,149,118,93,0
20.4,48.3,188,116,167,0
22.4,65.8,222,107,129,0
25.8,51.5,106,89,114,0
24.6,62.3,100,7,126,0
21.4,35.7,158,61,64,0
23.3,39.0,191,119,131,0
25.4,40.9,138,41,159,0
20.8,35.9,239,147,346,0
26.4,48.1,181,19,303,0
24.8,57.0,132,77,350,0
24.2,39.2,101,88,272,0
23.0,48.0,339,87,6,0
25.9,63.8,134,110,185,0
24.4,64.0,158,111,90,0
25.1,68.8,218,137,247,0
23.3,63.9,217,82,125,0
25.8,38.0,310,62,237,0
24.0,58.4,252,7,253,0
26.0,41.4,188,90,132,0
22.4,65.8,221,142,5,0
23.6,41.7,203,104,250,0
23.9,43.4,323,125,229,0
25.6,38.3,193,103,124,0
22.1,55.4,322,141,271,0
22.4,69.9,249,90,232,0
21.9,43.8,141,49,161,0
20.8,53.8,174,49,110,0
25.2,44.7,348,72,51,0
25.8,45.4,264,45,154,0
20.1,53.7,220,11,27,0
23.9,59.4,144,125,52,0
36.6,80.5,390,122,225,1
30.8,91.1,279,122,58,1
36.1,75.8,187,147,322,1
34.6,69.1,305,21,127,1
28.4,85.6,265,133,194,1
32.0,77.0,369,78,291,1
33.9,81.5,200,53,320,1
29.4,82.8,230,61,88,1
33.1,69.2,359,115,352,1
33.6,72.9,268,73,361,1
30.2,88.2,186,175,119,1
37.2,86.3,251,108,58,1
33.0,82.5,286,36,36,1
27.8,86.4,297,112,63,1
32.2,73.2,356,69,256,1
33.0,76.8,170,110,376,1
30.6,71.8,196,58,345,0
36.2,80.5,160,172,420,1
30.0,66.1,239,120,265,0
34.2,89.7,242,149,223,1
34.0,78.3,196,120,178,1
31.6,73.7,203,41,168,0
31.6,78.4,355,140,18,1
32.1,73.5,315,29,395,1
31.5,78.9,150,168,277,1
32.1,66.5,415,92,318,1
35.3,81.9,176,52,136,1
33.1,90.0,374,178,248,1
28.4,91.3,272,40,159,1
33.1,79.9,197,57,58,1
32.1,68.2,228,127,366,1
30.3,84.0,362,123,241,1
29.8,79.9,346,48,306,1
32.6,88.7,185,70,395,1
35.7,76.2,409,68,420,1
27.1,84.6,400,38,228,1
33.0,74.3,428,96,233,1
37.3,88.5,272,146,196,1
29.6,85.9,172,81,381,1
32.3,89.7,345,98,339,1
35.7,82.6,227,126,18,1
28.5,91.1,319,25,225,1
28.2,89.6,157,36,209,1
36.6,91.2,188,120,400,1
37.7,74.1,353,166,41,1
36.4,88.0,423,97,162,1
33.9,89.0,399,138,18,1
33.8,71.3,297,58,382,1
28.1,91.4,201,113,85,1
34.7,89.4,173,83,407,1
27.7,74.7,370,37,125,0
32.9,80.3,242,43,89,1
28.0,88.5,273,127,298,1
28.7,77.5,280,117,130,1
34.4,89.3,388,73,346,1
33.1,67.0,326,150,153,1
34.1,76.5,278,116,154,1
29.3,75.4,397,27,121,1
31.3,74.7,301,179,151,0
